DriverNumber,Driver,TeamName,Position,Points,Year,GrandPrix,Round,QualPosition,Driver_AvgFinish_Season,Team_AvgPoints_Season,PrevRaceFinish,Form_Last3,AvgFinish_AtGP_PastYears,AvgQual_AtGP_PastYears,norm_Form_Last3,norm_AvgFinishAtGP,norm_AvgQualAtGP,Drivers_Confidence,DriverID,TeamID,GP_ID
2,SAR,Williams,14,0,2020,Styrian Grand Prix,2,19,17.142857142857142,0.48484848484848486,20.0,17.0,,,0.1578947368421053,1.0,1.0,0.6631578947368422,19,9,27
22,TSU,RB,15,0,2020,Styrian Grand Prix,2,9,13.470588235294118,0.8235294117647058,14.0,14.5,,,0.2894736842105263,1.0,1.0,0.7157894736842105,21,7,27
3,RIC,RB,16,0,2020,Styrian Grand Prix,2,14,13.117647058823529,0.8235294117647058,13.0,14.5,,,0.2894736842105263,1.0,1.0,0.7157894736842105,16,7,27
77,BOT,Kick Sauber,17,0,2020,Styrian Grand Prix,2,16,16.058823529411764,0.0,19.0,18.0,,,0.10526315789473695,1.0,1.0,0.6421052631578947,3,4,27
24,ZHO,Kick Sauber,18,0,2020,Styrian Grand Prix,2,20,16.11764705882353,0.0,11.0,14.5,,,0.2894736842105263,1.0,1.0,0.7157894736842105,23,4,27
18,STR,Aston Martin,19,0,2020,Styrian Grand Prix,2,10,12.647058823529411,2.411764705882353,10.0,14.5,,,0.2894736842105263,1.0,1.0,0.7157894736842105,20,1,27
10,GAS,Alpine,20,0,2020,Styrian Grand Prix,2,18,13.823529411764707,0.38235294117647056,18.0,19.0,,,0.05263157894736836,1.0,1.0,0.6210526315789473,6,0,27
55,SAI,Ferrari,1,25,2020,Hungarian Grand Prix,3,2,5.875,11.735294117647058,3.0,2.0,,,0.9473684210526316,1.0,1.0,0.9789473684210528,18,2,13
16,LEC,Ferrari,2,19,2020,Hungarian Grand Prix,3,5,5.0588235294117645,11.735294117647058,3.0,3.0,,,0.8947368421052632,1.0,1.0,0.9578947368421054,10,2,13
4,NOR,McLaren,3,15,2020,Hungarian Grand Prix,3,4,4.294117647058823,13.382352941176471,8.0,5.666666666666667,,,0.7543859649122807,1.0,1.0,0.9017543859649124,12,5,13
81,PIA,McLaren,4,12,2020,Hungarian Grand Prix,3,6,4.647058823529412,13.382352941176471,4.0,5.333333333333333,,,0.7719298245614035,1.0,1.0,0.9087719298245613,15,5,13
11,PER,Red Bull Racing,5,10,2020,Hungarian Grand Prix,3,3,8.176470588235293,12.323529411764707,2.0,3.0,,,0.8947368421052632,1.0,1.0,0.9578947368421054,14,8,13
18,STR,Aston Martin,6,8,2020,Hungarian Grand Prix,3,9,12.647058823529411,2.411764705882353,19.0,11.666666666666666,,,0.4385964912280702,1.0,1.0,0.775438596491228,20,1,13
22,TSU,RB,7,6,2020,Hungarian Grand Prix,3,8,13.470588235294118,0.8235294117647058,15.0,12.0,,,0.42105263157894735,1.0,1.0,0.7684210526315789,21,7,13
14,ALO,Aston Martin,8,4,2020,Hungarian Grand Prix,3,10,9.647058823529411,2.411764705882353,5.0,7.333333333333333,,,0.6666666666666667,1.0,1.0,0.8666666666666667,1,1,13
27,HUL,Haas F1 Team,9,2,2020,Hungarian Grand Prix,3,16,11.823529411764707,0.7941176470588235,10.0,11.666666666666666,,,0.4385964912280702,1.0,1.0,0.775438596491228,8,3,13
20,MAG,Haas F1 Team,10,1,2020,Hungarian Grand Prix,3,14,13.75,0.7941176470588235,12.0,11.333333333333334,,,0.45614035087719307,1.0,1.0,0.7824561403508772,11,3,13
23,ALB,Williams,11,0,2020,Hungarian Grand Prix,3,12,13.588235294117647,0.48484848484848486,11.0,12.333333333333334,,,0.4035087719298245,1.0,1.0,0.7614035087719297,0,9,13
