DriverNumber,Abbreviation,TeamName,Position,Points,Year,GrandPrix,Winner,Second,Third,DriverID,TeamID,GP_ID,AvgFinish_Season,TeamAvgPoints_Season,PrevRaceFinish
24,ZHO,Kick Sauber,15,0.0,2020,Hungarian Grand Prix,0,0,0,23,4,13,14.666666666666666,0.0,18.0
31,OCO,Alpine,16,0.0,2020,Hungarian Grand Prix,0,0,0,13,0,13,15.333333333333334,0.0,13.0
63,RUS,Mercedes,17,0.0,2020,Hungarian Grand Prix,0,0,0,17,6,13,9.333333333333334,5.2,6.0
44,HAM,Mercedes,18,0.0,2020,Hungarian Grand Prix,0,0,0,7,6,13,11.333333333333334,4.333333333333333,9.0
1,VER,Red Bull Racing,19,0.0,2020,Hungarian Grand Prix,0,0,0,22,8,13,7.0,16.166666666666668,1.0
1,VER,Red Bull Racing,1,26.0,2020,British Grand Prix,1,0,0,22,8,7,5.5,17.571428571428573,19.0
11,PER,Red Bull Racing,2,18.0,2020,British Grand Prix,0,1,0,14,8,7,2.75,17.625,5.0
55,SAI,Ferrari,3,15.0,2020,British Grand Prix,0,0,1,18,2,7,2.3333333333333335,15.428571428571429,1.0
16,LEC,Ferrari,4,12.0,2020,British Grand Prix,0,0,0,10,2,7,3.25,15.0,2.0
4,NOR,McLaren,5,10.0,2020,British Grand Prix,0,0,0,12,5,7,5.5,9.285714285714286,3.0
14,ALO,Aston Martin,6,8.0,2020,British Grand Prix,0,0,0,1,1,7,7.0,4.714285714285714,8.0
63,RUS,Mercedes,7,6.0,2020,British Grand Prix,0,0,0,17,6,7,8.75,4.571428571428571,17.0
81,PIA,McLaren,8,4.0,2020,British Grand Prix,0,0,0,15,5,7,6.0,8.625,4.0
44,HAM,Mercedes,9,2.0,2020,British Grand Prix,0,0,0,7,6,7,10.75,4.25,18.0
22,TSU,RB,10,1.0,2020,British Grand Prix,0,0,0,21,7,7,11.5,1.0,7.0
27,HUL,Haas F1 Team,11,0.0,2020,British Grand Prix,0,0,0,8,3,7,11.5,0.5714285714285714,9.0
18,STR,Aston Martin,12,0.0,2020,British Grand Prix,0,0,0,20,1,7,11.75,4.125,6.0
20,MAG,Haas F1 Team,13,0.0,2020,British Grand Prix,0,0,0,11,3,7,11.75,0.5,10.0
77,BOT,Kick Sauber,14,0.0,2020,British Grand Prix,0,0,0,3,4,7,16.0,0.0,14.0
31,OCO,Alpine,15,0.0,2020,British Grand Prix,0,0,0,13,0,7,15.25,0.0,16.0
10,GAS,Alpine,16,0.0,2020,British Grand Prix,0,0,0,6,0,7,16.75,0.0,13.0
2,SAR,Williams,17,0.0,2020,British Grand Prix,0,0,0,19,9,7,17.0,0.0,14.0
24,ZHO,Kick Sauber,18,0.0,2020,British Grand Prix,0,0,0,23,4,7,15.5,0.0,15.0
3,RIC,RB,19,0.0,2020,British Grand Prix,0,0,0,16,7,7,15.0,0.875,12.0
23,ALB,Williams,20,0.0,2020,British Grand Prix,0,0,0,0,9,7,14.25,0.0,11.0
1,VER,Red Bull Racing,1,25.0,2020,70th Anniversary Grand Prix,1,0,0,22,8,0,4.6,18.444444444444443,1.0
4,NOR,McLaren,2,18.0,2020,70th Anniversary Grand Prix,0,1,0,12,5,0,4.8,9.666666666666666,5.0
11,PER,Red Bull Racing,3,15.0,2020,70th Anniversary Grand Prix,0,0,1,14,8,0,2.8,18.1,2.0
16,LEC,Ferrari,4,12.0,2020,70th Anniversary Grand Prix,0,0,0,10,2,0,3.4,14.666666666666666,4.0
55,SAI,Ferrari,5,10.0,2020,70th Anniversary Grand Prix,0,0,0,18,2,0,3.0,14.2,3.0
63,RUS,Mercedes,6,8.0,2020,70th Anniversary Grand Prix,0,0,0,17,6,0,8.2,4.666666666666667,7.0
14,ALO,Aston Martin,7,7.0,2020,70th Anniversary Grand Prix,0,0,0,1,1,0,7.0,4.444444444444445,6.0
81,PIA,McLaren,8,4.0,2020,70th Anniversary Grand Prix,0,0,0,15,5,0,6.4,9.1,8.0
44,HAM,Mercedes,9,2.0,2020,70th Anniversary Grand Prix,0,0,0,7,6,0,10.4,4.4,9.0
27,HUL,Haas F1 Team,10,1.0,2020,70th Anniversary Grand Prix,0,0,0,8,3,0,11.2,0.5555555555555556,11.0
31,OCO,Alpine,11,0.0,2020,70th Anniversary Grand Prix,0,0,0,13,0,0,14.4,0.0,15.0
23,ALB,Williams,12,0.0,2020,70th Anniversary Grand Prix,0,0,0,0,9,0,13.8,0.0,20.0
10,GAS,Alpine,13,0.0,2020,70th Anniversary Grand Prix,0,0,0,6,0,0,16.0,0.0,16.0
24,ZHO,Kick Sauber,14,0.0,2020,70th Anniversary Grand Prix,0,0,0,23,4,0,15.2,0.0,18.0
